1SV16CS087,Sushanth,9546454552,sushanth39@gmail.com,B,96,69,45,89,299,74.75,PASS
1SV16CS084,Varma,9546545466,varma156@gmail.com,B,42,95,92,95,324,81,PASS
1SV16CS079,Jeshu,7465454623,jeshwanth@gmail.com,B,52,99,49,96,296,74,PASS
1SV16CS075,Tarak,8132121355,tarak8@gmail.com,B,86,65,95,53,299,74.75,PASS
1SV16CS070,Khaleen,6231254213,khaleen@gmail.com,B,76,92,55,69,292,73,PASS
1SV16CS068,Munna,7465452121,munnabhayya@gmail.com,B,95,95,63,59,312,78,PASS
1SV16CS063,Levinho,8789564230,levinho@gmail.com,B,87,52,98,78,315,78.75,PASS
1SV16Cs058,Rajini kanth,5522545623,boss@gmail.com,B,68,70,82,94,314,78.5,PASS
1SV16Cs057,Vijay,9656221542,vijay567@gmail.com,B,75,85,80,93,333,83.25,PASS
1SV16CS055,Krishna,8956214728,krish@gmail.com,B,98,65,50,99,312,78,PASS
1SV16CS050,Satwik,6326515445,sat123@gmail.com,B,65,75,98,80,318,79.5,PASS

